h1_rank,h2_rank,f1_rank,f2_rank,f3_rank,h1_suit,h2_suit,f1_suit,f2_suit,f3_suit,rank_key,suit_key
A,9,9,7,2,0,0,1,2,2,A9972,00122
A,9,9,7,2,0,0,1,2,3,A9972,00123
A,9,9,7,2,0,1,0,0,0,A9972,01000
A,9,9,7,2,0,1,0,0,1,A9972,01001
A,9,9,7,2,0,1,0,0,2,A9972,01002
A,9,9,7,2,0,1,0,1,0,A9972,01010
A,9,9,7,2,0,1,0,1,1,A9972,01011
A,9,9,7,2,0,1,0,1,2,A9972,01012
A,9,9,7,2,0,1,0,2,0,A9972,01020
A,9,9,7,2,0,1,0,2,1,A9972,01021
A,9,9,7,2,0,1,0,2,2,A9972,01022
A,9,9,7,2,0,1,0,2,3,A9972,01023
A,9,9,7,2,0,1,2,0,0,A9972,01200
A,9,9,7,2,0,1,2,0,1,A9972,01201
A,9,9,7,2,0,1,2,0,2,A9972,01202
A,9,9,7,2,0,1,2,0,3,A9972,01203
A,9,9,7,2,0,1,2,1,0,A9972,01210
A,9,9,7,2,0,1,2,1,1,A9972,01211
A,9,9,7,2,0,1,2,1,2,A9972,01212
A,9,9,7,2,0,1,2,1,3,A9972,01213
A,9,9,7,2,0,1,2,2,0,A9972,01220
A,9,9,7,2,0,1,2,2,1,A9972,01221
A,9,9,7,2,0,1,2,2,2,A9972,01222
A,9,9,7,2,0,1,2,2,3,A9972,01223
A,9,9,7,2,0,1,2,3,0,A9972,01230
A,9,9,7,2,0,1,2,3,1,A9972,01231
A,9,9,7,2,0,1,2,3,2,A9972,01232
A,9,9,7,2,0,1,2,3,3,A9972,01233
A,9,9,7,3,0,0,1,0,0,A9973,00100
A,9,9,7,3,0,0,1,0,1,A9973,00101
A,9,9,7,3,0,0,1,0,2,A9973,00102
A,9,9,7,3,0,0,1,1,0,A9973,00110
A,9,9,7,3,0,0,1,1,1,A9973,00111
A,9,9,7,3,0,0,1,1,2,A9973,00112
A,9,9,7,3,0,0,1,2,0,A9973,00120
A,9,9,7,3,0,0,1,2,1,A9973,00121
A,9,9,7,3,0,0,1,2,2,A9973,00122
A,9,9,7,3,0,0,1,2,3,A9973,00123
A,9,9,7,3,0,1,0,0,0,A9973,01000
A,9,9,7,3,0,1,0,0,1,A9973,01001
A,9,9,7,3,0,1,0,0,2,A9973,01002
A,9,9,7,3,0,1,0,1,0,A9973,01010
A,9,9,7,3,0,1,0,1,1,A9973,01011
A,9,9,7,3,0,1,0,1,2,A9973,01012
A,9,9,7,3,0,1,0,2,0,A9973,01020
A,9,9,7,3,0,1,0,2,1,A9973,01021
A,9,9,7,3,0,1,0,2,2,A9973,01022
A,9,9,7,3,0,1,0,2,3,A9973,01023
A,9,9,7,3,0,1,2,0,0,A9973,01200
A,9,9,7,3,0,1,2,0,1,A9973,01201
A,9,9,7,3,0,1,2,0,2,A9973,01202
A,9,9,7,3,0,1,2,0,3,A9973,01203
A,9,9,7,3,0,1,2,1,0,A9973,01210
A,9,9,7,3,0,1,2,1,1,A9973,01211
A,9,9,7,3,0,1,2,1,2,A9973,01212
A,9,9,7,3,0,1,2,1,3,A9973,01213
A,9,9,7,3,0,1,2,2,0,A9973,01220
A,9,9,7,3,0,1,2,2,1,A9973,01221
A,9,9,7,3,0,1,2,2,2,A9973,01222
A,9,9,7,3,0,1,2,2,3,A9973,01223
A,9,9,7,3,0,1,2,3,0,A9973,01230
A,9,9,7,3,0,1,2,3,1,A9973,01231
A,9,9,7,3,0,1,2,3,2,A9973,01232
A,9,9,7,3,0,1,2,3,3,A9973,01233
A,9,9,7,4,0,0,1,0,0,A9974,00100
A,9,9,7,4,0,0,1,0,1,A9974,00101
A,9,9,7,4,0,0,1,0,2,A9974,00102
A,9,9,7,4,0,0,1,1,0,A9974,00110
A,9,9,7,4,0,0,1,1,1,A9974,00111
A,9,9,7,4,0,0,1,1,2,A9974,00112
A,9,9,7,4,0,0,1,2,0,A9974,00120
A,9,9,7,4,0,0,1,2,1,A9974,00121
A,9,9,7,4,0,0,1,2,2,A9974,00122
A,9,9,7,4,0,0,1,2,3,A9974,00123
A,9,9,7,4,0,1,0,0,0,A9974,01000
A,9,9,7,4,0,1,0,0,1,A9974,01001
A,9,9,7,4,0,1,0,0,2,A9974,01002
A,9,9,7,4,0,1,0,1,0,A9974,01010
A,9,9,7,4,0,1,0,1,1,A9974,01011
A,9,9,7,4,0,1,0,1,2,A9974,01012
A,9,9,7,4,0,1,0,2,0,A9974,01020
A,9,9,7,4,0,1,0,2,1,A9974,01021
A,9,9,7,4,0,1,0,2,2,A9974,01022
A,9,9,7,4,0,1,0,2,3,A9974,01023
A,9,9,7,4,0,1,2,0,0,A9974,01200
A,9,9,7,4,0,1,2,0,1,A9974,01201
A,9,9,7,4,0,1,2,0,2,A9974,01202
A,9,9,7,4,0,1,2,0,3,A9974,01203
A,9,9,7,4,0,1,2,1,0,A9974,01210
A,9,9,7,4,0,1,2,1,1,A9974,01211
A,9,9,7,4,0,1,2,1,2,A9974,01212
A,9,9,7,4,0,1,2,1,3,A9974,01213
A,9,9,7,4,0,1,2,2,0,A9974,01220
A,9,9,7,4,0,1,2,2,1,A9974,01221
A,9,9,7,4,0,1,2,2,2,A9974,01222
A,9,9,7,4,0,1,2,2,3,A9974,01223
A,9,9,7,4,0,1,2,3,0,A9974,01230
A,9,9,7,4,0,1,2,3,1,A9974,01231
A,9,9,7,4,0,1,2,3,2,A9974,01232
A,9,9,7,4,0,1,2,3,3,A9974,01233
A,9,9,7,5,0,0,1,0,0,A9975,00100
A,9,9,7,5,0,0,1,0,1,A9975,00101
A,9,9,7,5,0,0,1,0,2,A9975,00102
A,9,9,7,5,0,0,1,1,0,A9975,00110
A,9,9,7,5,0,0,1,1,1,A9975,00111
A,9,9,7,5,0,0,1,1,2,A9975,00112
A,9,9,7,5,0,0,1,2,0,A9975,00120
A,9,9,7,5,0,0,1,2,1,A9975,00121
A,9,9,7,5,0,0,1,2,2,A9975,00122
A,9,9,7,5,0,0,1,2,3,A9975,00123
A,9,9,7,5,0,1,0,0,0,A9975,01000
A,9,9,7,5,0,1,0,0,1,A9975,01001
A,9,9,7,5,0,1,0,0,2,A9975,01002
A,9,9,7,5,0,1,0,1,0,A9975,01010
A,9,9,7,5,0,1,0,1,1,A9975,01011
A,9,9,7,5,0,1,0,1,2,A9975,01012
A,9,9,7,5,0,1,0,2,0,A9975,01020
A,9,9,7,5,0,1,0,2,1,A9975,01021
A,9,9,7,5,0,1,0,2,2,A9975,01022
A,9,9,7,5,0,1,0,2,3,A9975,01023
A,9,9,7,5,0,1,2,0,0,A9975,01200
A,9,9,7,5,0,1,2,0,1,A9975,01201
A,9,9,7,5,0,1,2,0,2,A9975,01202
A,9,9,7,5,0,1,2,0,3,A9975,01203
A,9,9,7,5,0,1,2,1,0,A9975,01210
A,9,9,7,5,0,1,2,1,1,A9975,01211
A,9,9,7,5,0,1,2,1,2,A9975,01212
A,9,9,7,5,0,1,2,1,3,A9975,01213
A,9,9,7,5,0,1,2,2,0,A9975,01220
A,9,9,7,5,0,1,2,2,1,A9975,01221
A,9,9,7,5,0,1,2,2,2,A9975,01222
A,9,9,7,5,0,1,2,2,3,A9975,01223
A,9,9,7,5,0,1,2,3,0,A9975,01230
A,9,9,7,5,0,1,2,3,1,A9975,01231
A,9,9,7,5,0,1,2,3,2,A9975,01232
A,9,9,7,5,0,1,2,3,3,A9975,01233
A,9,9,7,6,0,0,1,0,0,A9976,00100
A,9,9,7,6,0,0,1,0,1,A9976,00101
A,9,9,7,6,0,0,1,0,2,A9976,00102
A,9,9,7,6,0,0,1,1,0,A9976,00110
A,9,9,7,6,0,0,1,1,1,A9976,00111
A,9,9,7,6,0,0,1,1,2,A9976,00112
A,9,9,7,6,0,0,1,2,0,A9976,00120
A,9,9,7,6,0,0,1,2,1,A9976,00121
A,9,9,7,6,0,0,1,2,2,A9976,00122
A,9,9,7,6,0,0,1,2,3,A9976,00123
A,9,9,7,6,0,1,0,0,0,A9976,01000
A,9,9,7,6,0,1,0,0,1,A9976,01001
A,9,9,7,6,0,1,0,0,2,A9976,01002
A,9,9,7,6,0,1,0,1,0,A9976,01010
A,9,9,7,6,0,1,0,1,1,A9976,01011
A,9,9,7,6,0,1,0,1,2,A9976,01012
A,9,9,7,6,0,1,0,2,0,A9976,01020
A,9,9,7,6,0,1,0,2,1,A9976,01021
A,9,9,7,6,0,1,0,2,2,A9976,01022
A,9,9,7,6,0,1,0,2,3,A9976,01023
A,9,9,7,6,0,1,2,0,0,A9976,01200
A,9,9,7,6,0,1,2,0,1,A9976,01201
A,9,9,7,6,0,1,2,0,2,A9976,01202
A,9,9,7,6,0,1,2,0,3,A9976,01203
A,9,9,7,6,0,1,2,1,0,A9976,01210
A,9,9,7,6,0,1,2,1,1,A9976,01211
A,9,9,7,6,0,1,2,1,2,A9976,01212
A,9,9,7,6,0,1,2,1,3,A9976,01213
A,9,9,7,6,0,1,2,2,0,A9976,01220
A,9,9,7,6,0,1,2,2,1,A9976,01221
A,9,9,7,6,0,1,2,2,2,A9976,01222
A,9,9,7,6,0,1,2,2,3,A9976,01223
A,9,9,7,6,0,1,2,3,0,A9976,01230
A,9,9,7,6,0,1,2,3,1,A9976,01231
A,9,9,7,6,0,1,2,3,2,A9976,01232
A,9,9,7,6,0,1,2,3,3,A9976,01233
A,9,9,7,7,0,0,1,0,1,A9977,00101
A,9,9,7,7,0,0,1,0,2,A9977,00102
A,9,9,7,7,0,0,1,1,2,A9977,00112
A,9,9,7,7,0,0,1,2,3,A9977,00123
A,9,9,7,7,0,1,0,0,1,A9977,01001
A,9,9,7,7,0,1,0,0,2,A9977,01002
A,9,9,7,7,0,1,0,1,2,A9977,01012
A,9,9,7,7,0,1,0,2,3,A9977,01023
A,9,9,7,7,0,1,2,0,1,A9977,01201
A,9,9,7,7,0,1,2,0,2,A9977,01202
A,9,9,7,7,0,1,2,0,3,A9977,01203
A,9,9,7,7,0,1,2,1,2,A9977,01212
A,9,9,7,7,0,1,2,1,3,A9977,01213
A,9,9,7,7,0,1,2,2,3,A9977,01223
A,9,9,8,2,0,0,1,0,0,A9982,00100
A,9,9,8,2,0,0,1,0,1,A9982,00101
A,9,9,8,2,0,0,1,0,2,A9982,00102
A,9,9,8,2,0,0,1,1,0,A9982,00110
A,9,9,8,2,0,0,1,1,1,A9982,00111
A,9,9,8,2,0,0,1,1,2,A9982,00112
A,9,9,8,2,0,0,1,2,0,A9982,00120
A,9,9,8,2,0,0,1,2,1,A9982,00121
A,9,9,8,2,0,0,1,2,2,A9982,00122
A,9,9,8,2,0,0,1,2,3,A9982,00123
A,9,9,8,2,0,1,0,0,0,A9982,01000
A,9,9,8,2,0,1,0,0,1,A9982,01001
A,9,9,8,2,0,1,0,0,2,A9982,01002
A,9,9,8,2,0,1,0,1,0,A9982,01010
A,9,9,8,2,0,1,0,1,1,A9982,01011
A,9,9,8,2,0,1,0,1,2,A9982,01012
A,9,9,8,2,0,1,0,2,0,A9982,01020
A,9,9,8,2,0,1,0,2,1,A9982,01021
A,9,9,8,2,0,1,0,2,2,A9982,01022
A,9,9,8,2,0,1,0,2,3,A9982,01023
A,9,9,8,2,0,1,2,0,0,A9982,01200
A,9,9,8,2,0,1,2,0,1,A9982,01201
A,9,9,8,2,0,1,2,0,2,A9982,01202
A,9,9,8,2,0,1,2,0,3,A9982,01203
A,9,9,8,2,0,1,2,1,0,A9982,01210
A,9,9,8,2,0,1,2,1,1,A9982,01211
A,9,9,8,2,0,1,2,1,2,A9982,01212
A,9,9,8,2,0,1,2,1,3,A9982,01213
A,9,9,8,2,0,1,2,2,0,A9982,01220
A,9,9,8,2,0,1,2,2,1,A9982,01221
A,9,9,8,2,0,1,2,2,2,A9982,01222
A,9,9,8,2,0,1,2,2,3,A9982,01223
A,9,9,8,2,0,1,2,3,0,A9982,01230
A,9,9,8,2,0,1,2,3,1,A9982,01231
A,9,9,8,2,0,1,2,3,2,A9982,01232
A,9,9,8,2,0,1,2,3,3,A9982,01233
A,9,9,8,3,0,0,1,0,0,A9983,00100
A,9,9,8,3,0,0,1,0,1,A9983,00101
A,9,9,8,3,0,0,1,0,2,A9983,00102
A,9,9,8,3,0,0,1,1,0,A9983,00110
A,9,9,8,3,0,0,1,1,1,A9983,00111
A,9,9,8,3,0,0,1,1,2,A9983,00112
A,9,9,8,3,0,0,1,2,0,A9983,00120
A,9,9,8,3,0,0,1,2,1,A9983,00121
A,9,9,8,3,0,0,1,2,2,A9983,00122
A,9,9,8,3,0,0,1,2,3,A9983,00123
A,9,9,8,3,0,1,0,0,0,A9983,01000
A,9,9,8,3,0,1,0,0,1,A9983,01001
A,9,9,8,3,0,1,0,0,2,A9983,01002
A,9,9,8,3,0,1,0,1,0,A9983,01010
A,9,9,8,3,0,1,0,1,1,A9983,01011
A,9,9,8,3,0,1,0,1,2,A9983,01012
A,9,9,8,3,0,1,0,2,0,A9983,01020
A,9,9,8,3,0,1,0,2,1,A9983,01021
A,9,9,8,3,0,1,0,2,2,A9983,01022
A,9,9,8,3,0,1,0,2,3,A9983,01023
A,9,9,8,3,0,1,2,0,0,A9983,01200
A,9,9,8,3,0,1,2,0,1,A9983,01201
A,9,9,8,3,0,1,2,0,2,A9983,01202
A,9,9,8,3,0,1,2,0,3,A9983,01203
A,9,9,8,3,0,1,2,1,0,A9983,01210
A,9,9,8,3,0,1,2,1,1,A9983,01211
A,9,9,8,3,0,1,2,1,2,A9983,01212
A,9,9,8,3,0,1,2,1,3,A9983,01213
A,9,9,8,3,0,1,2,2,0,A9983,01220
A,9,9,8,3,0,1,2,2,1,A9983,01221
A,9,9,8,3,0,1,2,2,2,A9983,01222
A,9,9,8,3,0,1,2,2,3,A9983,01223
A,9,9,8,3,0,1,2,3,0,A9983,01230
A,9,9,8,3,0,1,2,3,1,A9983,01231
A,9,9,8,3,0,1,2,3,2,A9983,01232
A,9,9,8,3,0,1,2,3,3,A9983,01233
A,9,9,8,4,0,0,1,0,0,A9984,00100
A,9,9,8,4,0,0,1,0,1,A9984,00101
A,9,9,8,4,0,0,1,0,2,A9984,00102
A,9,9,8,4,0,0,1,1,0,A9984,00110
A,9,9,8,4,0,0,1,1,1,A9984,00111
A,9,9,8,4,0,0,1,1,2,A9984,00112
A,9,9,8,4,0,0,1,2,0,A9984,00120
A,9,9,8,4,0,0,1,2,1,A9984,00121
A,9,9,8,4,0,0,1,2,2,A9984,00122
A,9,9,8,4,0,0,1,2,3,A9984,00123
A,9,9,8,4,0,1,0,0,0,A9984,01000
A,9,9,8,4,0,1,0,0,1,A9984,01001
A,9,9,8,4,0,1,0,0,2,A9984,01002
A,9,9,8,4,0,1,0,1,0,A9984,01010
A,9,9,8,4,0,1,0,1,1,A9984,01011
A,9,9,8,4,0,1,0,1,2,A9984,01012
A,9,9,8,4,0,1,0,2,0,A9984,01020
A,9,9,8,4,0,1,0,2,1,A9984,01021
A,9,9,8,4,0,1,0,2,2,A9984,01022
A,9,9,8,4,0,1,0,2,3,A9984,01023
A,9,9,8,4,0,1,2,0,0,A9984,01200
A,9,9,8,4,0,1,2,0,1,A9984,01201
A,9,9,8,4,0,1,2,0,2,A9984,01202
A,9,9,8,4,0,1,2,0,3,A9984,01203
A,9,9,8,4,0,1,2,1,0,A9984,01210
A,9,9,8,4,0,1,2,1,1,A9984,01211
A,9,9,8,4,0,1,2,1,2,A9984,01212
A,9,9,8,4,0,1,2,1,3,A9984,01213
A,9,9,8,4,0,1,2,2,0,A9984,01220
A,9,9,8,4,0,1,2,2,1,A9984,01221
A,9,9,8,4,0,1,2,2,2,A9984,01222
A,9,9,8,4,0,1,2,2,3,A9984,01223
A,9,9,8,4,0,1,2,3,0,A9984,01230
A,9,9,8,4,0,1,2,3,1,A9984,01231
A,9,9,8,4,0,1,2,3,2,A9984,01232
A,9,9,8,4,0,1,2,3,3,A9984,01233
A,9,9,8,5,0,0,1,0,0,A9985,00100
A,9,9,8,5,0,0,1,0,1,A9985,00101
A,9,9,8,5,0,0,1,0,2,A9985,00102
A,9,9,8,5,0,0,1,1,0,A9985,00110
A,9,9,8,5,0,0,1,1,1,A9985,00111
A,9,9,8,5,0,0,1,1,2,A9985,00112
A,9,9,8,5,0,0,1,2,0,A9985,00120
A,9,9,8,5,0,0,1,2,1,A9985,00121
A,9,9,8,5,0,0,1,2,2,A9985,00122
A,9,9,8,5,0,0,1,2,3,A9985,00123
A,9,9,8,5,0,1,0,0,0,A9985,01000
A,9,9,8,5,0,1,0,0,1,A9985,01001
A,9,9,8,5,0,1,0,0,2,A9985,01002
A,9,9,8,5,0,1,0,1,0,A9985,01010
A,9,9,8,5,0,1,0,1,1,A9985,01011
A,9,9,8,5,0,1,0,1,2,A9985,01012
A,9,9,8,5,0,1,0,2,0,A9985,01020
A,9,9,8,5,0,1,0,2,1,A9985,01021
A,9,9,8,5,0,1,0,2,2,A9985,01022
A,9,9,8,5,0,1,0,2,3,A9985,01023
A,9,9,8,5,0,1,2,0,0,A9985,01200
A,9,9,8,5,0,1,2,0,1,A9985,01201
A,9,9,8,5,0,1,2,0,2,A9985,01202
A,9,9,8,5,0,1,2,0,3,A9985,01203
A,9,9,8,5,0,1,2,1,0,A9985,01210
A,9,9,8,5,0,1,2,1,1,A9985,01211
A,9,9,8,5,0,1,2,1,2,A9985,01212
A,9,9,8,5,0,1,2,1,3,A9985,01213
A,9,9,8,5,0,1,2,2,0,A9985,01220
A,9,9,8,5,0,1,2,2,1,A9985,01221
A,9,9,8,5,0,1,2,2,2,A9985,01222
A,9,9,8,5,0,1,2,2,3,A9985,01223
A,9,9,8,5,0,1,2,3,0,A9985,01230
A,9,9,8,5,0,1,2,3,1,A9985,01231
A,9,9,8,5,0,1,2,3,2,A9985,01232
A,9,9,8,5,0,1,2,3,3,A9985,01233
A,9,9,8,6,0,0,1,0,0,A9986,00100
A,9,9,8,6,0,0,1,0,1,A9986,00101
A,9,9,8,6,0,0,1,0,2,A9986,00102
A,9,9,8,6,0,0,1,1,0,A9986,00110
A,9,9,8,6,0,0,1,1,1,A9986,00111
A,9,9,8,6,0,0,1,1,2,A9986,00112
A,9,9,8,6,0,0,1,2,0,A9986,00120
A,9,9,8,6,0,0,1,2,1,A9986,00121
A,9,9,8,6,0,0,1,2,2,A9986,00122
A,9,9,8,6,0,0,1,2,3,A9986,00123
A,9,9,8,6,0,1,0,0,0,A9986,01000
A,9,9,8,6,0,1,0,0,1,A9986,01001
A,9,9,8,6,0,1,0,0,2,A9986,01002
A,9,9,8,6,0,1,0,1,0,A9986,01010
A,9,9,8,6,0,1,0,1,1,A9986,01011
A,9,9,8,6,0,1,0,1,2,A9986,01012
A,9,9,8,6,0,1,0,2,0,A9986,01020
A,9,9,8,6,0,1,0,2,1,A9986,01021
A,9,9,8,6,0,1,0,2,2,A9986,01022
A,9,9,8,6,0,1,0,2,3,A9986,01023
A,9,9,8,6,0,1,2,0,0,A9986,01200
A,9,9,8,6,0,1,2,0,1,A9986,01201
A,9,9,8,6,0,1,2,0,2,A9986,01202
A,9,9,8,6,0,1,2,0,3,A9986,01203
A,9,9,8,6,0,1,2,1,0,A9986,01210
A,9,9,8,6,0,1,2,1,1,A9986,01211
A,9,9,8,6,0,1,2,1,2,A9986,01212
A,9,9,8,6,0,1,2,1,3,A9986,01213
A,9,9,8,6,0,1,2,2,0,A9986,01220
A,9,9,8,6,0,1,2,2,1,A9986,01221
A,9,9,8,6,0,1,2,2,2,A9986,01222
A,9,9,8,6,0,1,2,2,3,A9986,01223
A,9,9,8,6,0,1,2,3,0,A9986,01230
A,9,9,8,6,0,1,2,3,1,A9986,01231
A,9,9,8,6,0,1,2,3,2,A9986,01232
A,9,9,8,6,0,1,2,3,3,A9986,01233
A,9,9,8,7,0,0,1,0,0,A9987,00100
A,9,9,8,7,0,0,1,0,1,A9987,00101
