hand,p2_equity,p2_win,p2_tie,p2_loss,p3_equity,p3_win,p3_tie,p3_loss,p4_equity,p4_win,p4_tie,p4_loss,p5_equity,p5_win,p5_tie,p5_loss,p6_equity,p6_win,p6_tie,p6_loss
AA,0.84975,0.8469,0.0057,0.1474,0.7311666666666675,0.7286,0.0065,0.2649,0.63945,0.6375,0.00535,0.35715,0.5585883333333335,0.5563,0.00575,0.43795,0.4920333333333333,0.49005,0.0054,0.50455
KK,0.822275,0.81955,0.00545,0.175,0.6868500000000007,0.68415,0.0068,0.30905,0.5832333333333333,0.5805,0.0069,0.4126,0.4945583333333332,0.4925,0.0052,0.5023,0.4317916666666668,0.4292,0.00655,0.56425
QQ,0.79715,0.79455,0.0052,0.20025,0.6483750000000006,0.64545,0.00725,0.3473,0.5418208333333334,0.539,0.00705,0.45395,0.4462249999999998,0.4436,0.00635,0.55005,0.37968333333333343,0.3771,0.0065,0.6164
JJ,0.777325,0.77415,0.00635,0.2195,0.6121583333333339,0.60925,0.0071,0.38365,0.4966541666666666,0.49365,0.00745,0.4989,0.400723333333333,0.3972,0.0084,0.5944,0.3346416666666667,0.3312,0.0083,0.6605
TT,0.7554,0.7518,0.0072,0.241,0.574541666666667,0.57085,0.0088,0.42035,0.4564333333333333,0.4527,0.00905,0.53825,0.3611149999999997,0.3576,0.0083,0.6341,0.30254166666666676,0.29855,0.00925,0.6922
99,0.725725,0.72195,0.00755,0.2705,0.5303000000000004,0.52715,0.0078,0.46505,0.4108083333333334,0.4076,0.0081,0.5843,0.32439499999999966,0.32125,0.00765,0.6711,0.2688833333333334,0.2653,0.00845,0.72625
88,0.695825,0.6914,0.00885,0.29975,0.49993333333333356,0.49625,0.00905,0.4947,0.37555833333333327,0.37235,0.00815,0.6195,0.2930566666666664,0.28985,0.00805,0.7021,0.2419166666666667,0.2384,0.00835,0.75325
AKs,0.672425,0.664,0.01685,0.31915,0.5071333333333337,0.49875,0.0184,0.48285,0.4111083333333333,0.40145,0.0212,0.57735,0.3578483333333328,0.34835,0.02145,0.6302,0.3096041666666667,0.3009,0.01935,0.67975
77,0.667475,0.6624,0.01015,0.32745,0.4674083333333332,0.464,0.00865,0.52735,0.34760416666666666,0.3441,0.0091,0.6468,0.2630249999999997,0.2598,0.00825,0.73195,0.221225,0.218,0.00775,0.77425
AQs,0.6665,0.6576,0.0178,0.3246,0.49474166666666697,0.4853,0.0205,0.4942,0.3986124999999999,0.3876,0.02385,0.58855,0.34133833333333286,0.3312,0.0227,0.6461,0.2942625,0.2837,0.0233,0.693
AJs,0.66,0.6501,0.0198,0.3301,0.4788416666666669,0.4679,0.02345,0.50865,0.3842958333333332,0.37235,0.02595,0.6017,0.32814999999999955,0.31615,0.0265,0.65735,0.28035833333333327,0.2688,0.02515,0.70605
AKo,0.65675,0.64845,0.0166,0.33495,0.4824083333333334,0.4728,0.0209,0.5063,0.38036249999999994,0.37095,0.02095,0.6081,0.3179433333333329,0.3082,0.0215,0.6703,0.28520416666666676,0.27655,0.0194,0.70405
ATs,0.65345,0.64255,0.0218,0.33565,0.4698166666666669,0.45765,0.0259,0.51645,0.3738333333333332,0.3611,0.02745,0.61145,0.31718499999999944,0.30345,0.03025,0.6663,0.26426666666666665,0.25065,0.02935,0.72
AQo,0.6456,0.6367,0.0178,0.3455,0.46276666666666644,0.4522,0.0229,0.5249,0.36562499999999987,0.355,0.02345,0.62155,0.3029208333333329,0.29115,0.0258,0.68305,0.26270416666666674,0.2521,0.02335,0.72455
AJo,0.639875,0.6304,0.01895,0.35065,0.4558249999999998,0.444,0.0254,0.5306,0.3495958333333331,0.33685,0.0276,0.63555,0.28681416666666626,0.2744,0.02725,0.69835,0.24448750000000008,0.2323,0.02675,0.74095
66,0.63875,0.63265,0.0122,0.35515,0.43154999999999955,0.42775,0.0096,0.56265,0.31299583333333336,0.3093,0.00935,0.68135,0.2422649999999997,0.23905,0.0083,0.75265,0.19942499999999996,0.19675,0.0066,0.79665
A9s,0.6351,0.6221,0.026,0.3519,0.44704166666666645,0.43275,0.0302,0.53705,0.3426416666666664,0.32855,0.0303,0.64115,0.2888416666666662,0.27425,0.03195,0.6938,0.2423,0.22865,0.0297,0.74165
KQs,0.633025,0.6238,0.01845,0.35775,0.4685833333333332,0.4586,0.022,0.5194,0.38273333333333326,0.3727,0.02215,0.60515,0.32746333333333283,0.31815,0.02135,0.6605,0.2829083333333334,0.2726,0.0233,0.7041
ATo,0.6325,0.6208,0.0234,0.3558,0.4433166666666664,0.43,0.02835,0.54165,0.3367499999999999,0.3235,0.0289,0.6476,0.2732766666666662,0.25825,0.03255,0.7092,0.23284583333333353,0.21875,0.0306,0.75065
A8s,0.6292,0.615,0.0284,0.3566,0.43574166666666636,0.41985,0.03355,0.5466,0.33252499999999985,0.31645,0.0341,0.64945,0.2821324999999995,0.2664,0.0345,0.6991,0.23377499999999996,0.21925,0.03145,0.7493
KJs,0.6268,0.61655,0.0205,0.36295,0.4515416666666665,0.44065,0.02385,0.5355,0.36497499999999994,0.35385,0.02455,0.6216,0.31420999999999955,0.30305,0.0251,0.67185,0.2688875,0.2584,0.0235,0.7181
KTs,0.623475,0.61165,0.02365,0.3647,0.44524166666666654,0.43315,0.0261,0.54075,0.3527583333333333,0.3403,0.0273,0.6324,0.30378333333333285,0.29135,0.02785,0.6808,0.25745833333333323,0.2453,0.0268,0.7279
A7s,0.619775,0.604,0.03155,0.36445,0.42554166666666626,0.4081,0.03645,0.55545,0.3226958333333332,0.30595,0.03555,0.6585,0.27169999999999955,0.25485,0.0369,0.70825,0.22777083333333334,0.212,0.03395,0.75405
KQo,0.614425,0.6042,0.02045,0.37535,0.43770833333333264,0.42815,0.02135,0.5505,0.34888749999999996,0.33885,0.0223,0.63885,0.2886166666666663,0.27865,0.02215,0.6992,0.25502500000000006,0.2442,0.0238,0.732
A6s,0.6134,0.59665,0.0335,0.36985,0.41119166666666607,0.3924,0.0392,0.5684,0.3120541666666666,0.294,0.03815,0.66785,0.2586266666666663,0.24115,0.0379,0.72095,0.21754166666666674,0.20115,0.03525,0.7636
